2025-09-30 20:30:35,072 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: ad17d6f0 | Extra: {}
2025-09-30 20:30:35,075 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 54e98ef1) | Extra: {}
2025-09-30 20:30:35,220 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 20:30:35,222 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 20:30:35,223 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: 54e98ef1, durée: 0.15s) | Extra: {}
2025-09-30 20:30:35,229 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: 62e1bbe4) | Extra: {}
2025-09-30 20:30:47,463 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 20:30:47,464 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: 62e1bbe4, durée: 12.24s) | Extra: {}
2025-09-30 20:39:54,559 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 8788acd4 | Extra: {}
2025-09-30 20:39:54,561 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: d55afef9) | Extra: {}
2025-09-30 20:39:54,636 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 20:39:54,637 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 20:39:54,638 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: d55afef9, durée: 0.08s) | Extra: {}
2025-09-30 20:39:54,639 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: b6c567bb) | Extra: {}
2025-09-30 20:39:54,702 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 20:39:54,703 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: b6c567bb, durée: 0.06s) | Extra: {}
2025-09-30 20:45:12,914 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 7fb7a22f | Extra: {}
2025-09-30 20:45:12,918 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: bfdf032f) | Extra: {}
2025-09-30 20:45:13,003 | WikimediaAccess | INFO | _initialize_scheduler:808 | Scheduler initialisé: 7091343372838473903 | Extra: {}
2025-09-30 20:45:13,005 | WikimediaAccess | INFO | __init__:255 | WikimediaAccess initialisé pour QID: Q347139 | Extra: {}
2025-09-30 20:45:13,006 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: WikimediaAccess.__init__ (ID: bfdf032f, durée: 0.09s) | Extra: {}
2025-09-30 20:45:13,009 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: sparql_query (ID: bd4b9320) | Extra: {}
2025-09-30 20:45:28,340 | WikimediaAccess | INFO | sparqlQuery:1012 | Requête SPARQL exécutée avec succès | Extra: {}
2025-09-30 20:45:28,341 | WikimediaAccess | INFO | api_operation_context:156 | Opération réussie: sparql_query (ID: bd4b9320, durée: 15.33s) | Extra: {}
