2025-09-30 12:32:13,150 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: d1ff3153 | Extra: {}
2025-09-30 12:32:13,152 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 82bb9753) | Extra: {}
2025-09-30 12:32:15,236 | WikimediaAccess | WARNING | wrapper:132 | _create_scheduler échec (tentative 1), retry dans 1.0s: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B777E7690>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:32:18,296 | WikimediaAccess | WARNING | wrapper:132 | _create_scheduler échec (tentative 2), retry dans 1.5s: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B7760A3D0>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:32:21,833 | WikimediaAccess | WARNING | wrapper:132 | _create_scheduler échec (tentative 3), retry dans 2.2s: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B775B6210>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:32:26,138 | WikimediaAccess | ERROR | wrapper:128 | _create_scheduler échec après 4 tentatives: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B775E4C10>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:32:26,141 | WikimediaAccess | ERROR | api_operation_context:160 | Opération échouée: WikimediaAccess.__init__ (ID: 82bb9753, durée: 12.99s): Impossible d'initialiser le scheduler: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B775E4C10>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:32:26,145 | WikimediaAccess | ERROR | __init__:258 | Erreur lors de l'initialisation: Impossible d'initialiser le scheduler: Erreur réseau lors de la création du scheduler: HTTPConnectionPool(host='127.0.0.1', port=6000): Max retries exceeded with url: /api/initialize (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000012B775E4C10>: Failed to establish a new connection: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée')) | Extra: {}
2025-09-30 12:34:39,729 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 6293eaa0 | Extra: {}
2025-09-30 12:34:39,729 | WikimediaAccess | INFO | __init__:242 | Instance WikimediaAccess créée - ID: 6293eaa0 | Extra: {}
2025-09-30 12:34:39,733 | WikimediaAccess | INFO | api_operation_context:150 | Début opération: WikimediaAccess.__init__ (ID: 8098d3e9) | Extra: {}
